,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Sprachebene
209,,,,,,LSch,negativ,55252,CATMA_869F3B45-5663-4586-A650-FE2ED0D1E41D,22,Emotionen des Leids,negativ,55154,Leid,"An einer Seiten Ruh! Ach Ruhe! wenn wir krigen!
Wenn wir besprungen Tag vnd Nacht zu Felde ligen.
","['An', 'einer', 'Seiten', 'Ruh', '!', 'Ach', 'Ruhe', '!', 'wenn', 'wir', 'krigen', '!', 'Wenn', 'wir', 'besprungen', 'Tag', 'vnd', 'Nacht', 'zu', 'Felde', 'ligen', '.']",
210,,seinel can,,,,LSch,positiv,55315,CATMA_EB74314C-4A59-4EE5-9529-B6BFEE671056,10,Emotionen der Zuneigung,positiv,55265,Freundschaft,Der eine Feind beut vns numehr als Freund die Hand,"['Der', 'eine', 'Feind', 'beut', 'vns', 'numehr', 'als', 'Freund', 'die', 'Hand']",
211,seinel can,,,,,LSch,Emotionale Bewegtheit,55822,CATMA_52879C10-D8E7-47FA-BB16-5455C6E0D532,46,Emotionale Bewegtheit,Emotionale Bewegtheit,55603,Emotionale Bewegtheit,"Wie? hofft der keinen Sig vor dem die Welt erzittert?
Auff dessen Wort der Grund der Erden sich erschüttert?
Vor dem der Feinde Macht vnd Anschlag stets gefehlt!
Der mehr Triumph / als Jahr / als Tag' als Stunden zehlt?","['Wie', '?', 'hofft', 'der', 'keinen', 'Sig', 'vor', 'dem', 'die', 'Welt', 'erzittert', '?', 'Auff', 'dessen', 'Wort', 'der', 'Grund', 'der', 'Erden', 'sich', 'erschüttert', '?', 'Vor', 'dem', 'der', 'Feinde', 'Macht', 'vnd', 'Anschlag', 'stets', 'gefehlt', '!', 'Der', 'mehr', 'Triumph', '/', 'als', 'Jahr', '/', 'als', 'Tag', ""'"", 'als', 'Stunden', 'zehlt', '?']",
212,seinel can,,catharina,,,LSch,Emotionale Bewegtheit,55966,CATMA_03B6FB02-26A1-4FFE-9514-7B20C535D22D,18,Emotionale Bewegtheit,Emotionale Bewegtheit,55866,Emotionale Bewegtheit,"Wer wird die hohen Sinnen
Den vnerschöpfften Mutt die Tugend binden können
Die in dem Hertzen lebt?
","['Wer', 'wird', 'die', 'hohen', 'Sinnen', 'Den', 'vnerschöpfften', 'Mutt', 'die', 'Tugend', 'binden', 'können', 'Die', 'in', 'dem', 'Hertzen', 'lebt', '?']",
213,,chach abas,,,,LSch,negativ,56042,CATMA_53FDA169-D19B-4527-9471-8E54C0400C64,15,Emotionen des Leids,negativ,55975,Leid,"gelebt! vnd nu nicht mehr
Sie schmachtet. Sie vergeht / sie stirbt.","['gelebt', '!', 'vnd', 'nu', 'nicht', 'mehr', 'Sie', 'schmachtet', '.', 'Sie', 'vergeht', '/', 'sie', 'stirbt', '.']",
214,,,,,,LSch,negativ,56722,CATMA_FC6A49E3-4365-4156-9618-A27286EF4B27,102,Emotionen des Leids,negativ,56211,Leid,"Ach leider! du verstehst die Hertzens Wunde nicht.
Meint man das Osman vns die starcken Kräffte bricht?
Diß Kind dem wir gewohnt obsiegend zugebitten?
Dem wir sein Land mit Asch vnd Pfeilen überschütten?
Daß vnter disem Fuß sol schwer von Ketten stehn?
Vnd noch den sauren Gang deß Bajazeten12

 gehn.

Nein! Osman! nein! gejrrt! Es sind weit schärffer Klauen /
Die vns durch dise Brust biß in das Hertz gehauen /
Es ist ein ander Feind der dise Seele plagt;
Der disen Leib zerfleischt vnd an den Glidern nagt;
","['Ach', 'leider', '!', 'du', 'verstehst', 'die', 'Hertzens', 'Wunde', 'nicht', '.', 'Meint', 'man', 'das', 'Osman', 'vns', 'die', 'starcken', 'Kräffte', 'bricht', '?', 'Diß', 'Kind', 'dem', 'wir', 'gewohnt', 'obsiegend', 'zugebitten', '?', 'Dem', 'wir', 'sein', 'Land', 'mit', 'Asch', 'vnd', 'Pfeilen', 'überschütten', '?', 'Daß', 'vnter', 'disem', 'Fuß', 'sol', 'schwer', 'von', 'Ketten', 'stehn', '?', 'Vnd', 'noch', 'den', 'sauren', 'Gang', 'deß', 'Bajazeten12', 'gehn', '.', 'Nein', '!', 'Osman', '!', 'nein', '!', 'gejrrt', '!', 'Es', 'sind', 'weit', 'schärffer', 'Klauen', '/', 'Die', 'vns', 'durch', 'dise', 'Brust', 'biß', 'in', 'das', 'Hertz', 'gehauen', '/', 'Es', 'ist', 'ein', 'ander', 'Feind', 'der', 'dise', 'Seele', 'plagt', ';', 'Der', 'disen', 'Leib', 'zerfleischt', 'vnd', 'an', 'den', 'Glidern', 'nagt', ';']",
215,chach abas,,,,,LSch,negativ,56846,CATMA_DFD7DA31-C634-4A0B-9BF4-5E97966038A9,10,Emotionen des Leids,negativ,56795,Leid,Ists möglich daß dir noch sey vnser Leid verborgen?,"['Ists', 'möglich', 'daß', 'dir', 'noch', 'sey', 'vnser', 'Leid', 'verborgen', '?']",
216,chach abas,seinel can,,,,LSch,negativ,56913,CATMA_E912352B-88A1-49FD-821D-E8D9B29F2ECA,10,Emotionen des Leids,negativ,56859,Leid,Ein grosses Hertz' erschrickt nicht über grosser Last.,"['Ein', 'grosses', 'Hertz', ""'"", 'erschrickt', 'nicht', 'über', 'grosser', 'Last', '.']",
217,,,,,,LSch,negativ,56970,CATMA_B3C7EF5D-7C67-45D4-B7DF-39DDF321EFA5_0,9,Emotionen des Leids,negativ,56922,Leid,Vns hat ein höher Schmertz die Glider angefast /,"['Vns', 'hat', 'ein', 'höher', 'Schmertz', 'die', 'Glider', 'angefast', '/']",
218,,,,,,LSch,negativ,57091,CATMA_B3C7EF5D-7C67-45D4-B7DF-39DDF321EFA5_1,7,Emotionen des Leids,negativ,57044,Leid,Ein jnnerlicher Brand hat vnser Marck verzehret,"['Ein', 'jnnerlicher', 'Brand', 'hat', 'vnser', 'Marck', 'verzehret']",
219,,seinel can,,,,LSch,negativ,57035,CATMA_7E666FC6-14A2-41F7-880B-8098B2480F81,8,Emotionen des Leids,negativ,56983,Leid,Find't jhre Majestet mit Kranckheit sich beschweret?,"[""Find't"", 'jhre', 'Majestet', 'mit', 'Kranckheit', 'sich', 'beschweret', '?']",
220,chach abas,,,,,LSch,negativ,57229,CATMA_4E625E30-CA96-4925-9696-A74495FD158A,17,Emotionen des Leids,negativ,57148,Leid,"Der Artzt sucht vnsern Tod
Er schertzt mit vnser Angst / er lacht in vnser Noth.
","['Der', 'Artzt', 'sucht', 'vnsern', 'Tod', 'Er', 'schertzt', 'mit', 'vnser', 'Angst', '/', 'er', 'lacht', 'in', 'vnser', 'Noth', '.']",
221,chach abas,,,,,LSch,negativ,57202,CATMA_E13F3D2B-4BBF-4AC0-96AD-D7DBEAA88040,5,Emotionen der Angst,negativ,57175,Angst,Er schertzt mit vnser Angst,"['Er', 'schertzt', 'mit', 'vnser', 'Angst']",
222,seinel can,,,,,LSch,Emotionale Bewegtheit,57292,CATMA_9517261C-AB6C-48FF-91B7-217541F8657C,10,Emotionale Bewegtheit,Emotionale Bewegtheit,57242,Emotionale Bewegtheit,"Solt' einer diß zu thun sich dörffen vnterstehen?
","['Solt', ""'"", 'einer', 'diß', 'zu', 'thun', 'sich', 'dörffen', 'vnterstehen', '?']",
223,,,,,,LSch,negativ,57349,CATMA_9E52E453-0869-49D4-871C-2106F0BBDE98,10,Emotionen des Leids,negativ,57300,Leid,Du sihst wir müssen nur in höchstem Ach vergehen!,"['Du', 'sihst', 'wir', 'müssen', 'nur', 'in', 'höchstem', 'Ach', 'vergehen', '!']",
224,chach abas,seinel can,,,,LSch,negativ,57438,CATMA_46919BFF-8441-4B40-9DB4-6A76083863C0,14,Emotionen des Leids,negativ,57362,Leid,"Man suche disen Brand zu dämpffen durch sein Blut
Vnd mehrer Aertzte fleiß.
","['Man', 'suche', 'disen', 'Brand', 'zu', 'dämpffen', 'durch', 'sein', 'Blut', 'Vnd', 'mehrer', 'Aertzte', 'fleiß', '.']",
225,,,,,,LSch,negativ,57579,CATMA_5DC5FF14-F9E0-4F4E-BF98-050D1147A0BB,27,Emotionen des Leids,negativ,57447,Leid,"Kein ander lescht die Glut.
Die Hand die vns verletzt weiß einig rath zu finden /
Die vns die Wunde schlug kan einig vns verbinden.
","['Kein', 'ander', 'lescht', 'die', 'Glut', '.', 'Die', 'Hand', 'die', 'vns', 'verletzt', 'weiß', 'einig', 'rath', 'zu', 'finden', '/', 'Die', 'vns', 'die', 'Wunde', 'schlug', 'kan', 'einig', 'vns', 'verbinden', '.']",
226,,,,,,LSch,positiv,58541,CATMA_ED0EDC69-44FD-48C3-8A7D-1D321ED70902,181,Emotionen der Zuneigung,positiv,57652,Liebe,"Die mir an Himmels statt / der Fürstin Catharin.
Holdseeligste Feindin! vnüberwundne Schöne!
Haubt das verdint daß Phrat vnd Rha vnd Tyger kröne!

Gefangne die vns fing! die vns in Ketten schlegt!
Anmuttig wenn sie weint! frisch wenn jhr Grimm sich regt!
Vnd für jhr Ehre steht. Die nicht zu überbitten
Durch den der alles zwingt! die auff kein grimmes Wütten
Deß rauhen Eyfers gibt. Wir haben zwar dein Land
Doch du hast vnser Hertz / Rach über Rach! verbrand!
Princessin wir gestehns'. Du hast vns vor bekriget!
Doch hat dein Auge mehr als deine Faust gesiget.
Doch als dein hoher Geist sich in die Worte fand;
Verging Chach Abas gantz. Es mangelt' vns Verstand
Es fehlt vns an Vernunfft / noch fehlt es vns an Kräfften
Die mächtig deine Seel' an vnsern Geist zu häfften /
Vns steht das grosse Reich auff wincken zu gebott /
Wir selbst stehn dir zu Dinst / vnd finden nichts denn Spott.
","['Die', 'mir', 'an', 'Himmels', 'statt', '/', 'der', 'Fürstin', 'Catharin', '.', 'Holdseeligste', 'Feindin', '!', 'vnüberwundne', 'Schöne', '!', 'Haubt', 'das', 'verdint', 'daß', 'Phrat', 'vnd', 'Rha', 'vnd', 'Tyger', 'kröne', '!', 'Gefangne', 'die', 'vns', 'fing', '!', 'die', 'vns', 'in', 'Ketten', 'schlegt', '!', 'Anmuttig', 'wenn', 'sie', 'weint', '!', 'frisch', 'wenn', 'jhr', 'Grimm', 'sich', 'regt', '!', 'Vnd', 'für', 'jhr', 'Ehre', 'steht', '.', 'Die', 'nicht', 'zu', 'überbitten', 'Durch', 'den', 'der', 'alles', 'zwingt', '!', 'die', 'auff', 'kein', 'grimmes', 'Wütten', 'Deß', 'rauhen', 'Eyfers', 'gibt', '.', 'Wir', 'haben', 'zwar', 'dein', 'Land', 'Doch', 'du', 'hast', 'vnser', 'Hertz', '/', 'Rach', 'über', 'Rach', '!', 'verbrand', '!', 'Princessin', 'wir', 'gestehns', ""'"", '.', 'Du', 'hast', 'vns', 'vor', 'bekriget', '!', 'Doch', 'hat', 'dein', 'Auge', 'mehr', 'als', 'deine', 'Faust', 'gesiget', '.', 'Doch', 'als', 'dein', 'hoher', 'Geist', 'sich', 'in', 'die', 'Worte', 'fand', ';', 'Verging', 'Chach', 'Abas', 'gantz', '.', 'Es', 'mangelt', ""'"", 'vns', 'Verstand', 'Es', 'fehlt', 'vns', 'an', 'Vernunfft', '/', 'noch', 'fehlt', 'es', 'vns', 'an', 'Kräfften', 'Die', 'mächtig', 'deine', 'Seel', ""'"", 'an', 'vnsern', 'Geist', 'zu', 'häfften', '/', 'Vns', 'steht', 'das', 'grosse', 'Reich', 'auff', 'wincken', 'zu', 'gebott', '/', 'Wir', 'selbst', 'stehn', 'dir', 'zu', 'Dinst', '/', 'vnd', 'finden', 'nichts', 'denn', 'Spott', '.']",
227,,,,,,LSch,negativ,57906,CATMA_3A242894-E6C4-4EF3-A6AB-10707D11CB41,23,Emotionen des Leids,negativ,57799,Leid,"Gefangne die vns fing! die vns in Ketten schlegt!
Anmuttig wenn sie weint! frisch wenn jhr Grimm sich regt!","['Gefangne', 'die', 'vns', 'fing', '!', 'die', 'vns', 'in', 'Ketten', 'schlegt', '!', 'Anmuttig', 'wenn', 'sie', 'weint', '!', 'frisch', 'wenn', 'jhr', 'Grimm', 'sich', 'regt', '!']",
228,,,,,,LSch,negativ,58541,CATMA_7B2B2F3F-2C4B-4E8A-9182-B57872A5EACA,125,Emotionen des Leids,negativ,57931,Leid,"Die nicht zu überbitten
Durch den der alles zwingt! die auff kein grimmes Wütten
Deß rauhen Eyfers gibt. Wir haben zwar dein Land
Doch du hast vnser Hertz / Rach über Rach! verbrand!
Princessin wir gestehns'. Du hast vns vor bekriget!
Doch hat dein Auge mehr als deine Faust gesiget.
Doch als dein hoher Geist sich in die Worte fand;
Verging Chach Abas gantz. Es mangelt' vns Verstand
Es fehlt vns an Vernunfft / noch fehlt es vns an Kräfften
Die mächtig deine Seel' an vnsern Geist zu häfften /
Vns steht das grosse Reich auff wincken zu gebott /
Wir selbst stehn dir zu Dinst / vnd finden nichts denn Spott.
","['Die', 'nicht', 'zu', 'überbitten', 'Durch', 'den', 'der', 'alles', 'zwingt', '!', 'die', 'auff', 'kein', 'grimmes', 'Wütten', 'Deß', 'rauhen', 'Eyfers', 'gibt', '.', 'Wir', 'haben', 'zwar', 'dein', 'Land', 'Doch', 'du', 'hast', 'vnser', 'Hertz', '/', 'Rach', 'über', 'Rach', '!', 'verbrand', '!', 'Princessin', 'wir', 'gestehns', ""'"", '.', 'Du', 'hast', 'vns', 'vor', 'bekriget', '!', 'Doch', 'hat', 'dein', 'Auge', 'mehr', 'als', 'deine', 'Faust', 'gesiget', '.', 'Doch', 'als', 'dein', 'hoher', 'Geist', 'sich', 'in', 'die', 'Worte', 'fand', ';', 'Verging', 'Chach', 'Abas', 'gantz', '.', 'Es', 'mangelt', ""'"", 'vns', 'Verstand', 'Es', 'fehlt', 'vns', 'an', 'Vernunfft', '/', 'noch', 'fehlt', 'es', 'vns', 'an', 'Kräfften', 'Die', 'mächtig', 'deine', 'Seel', ""'"", 'an', 'vnsern', 'Geist', 'zu', 'häfften', '/', 'Vns', 'steht', 'das', 'grosse', 'Reich', 'auff', 'wincken', 'zu', 'gebott', '/', 'Wir', 'selbst', 'stehn', 'dir', 'zu', 'Dinst', '/', 'vnd', 'finden', 'nichts', 'denn', 'Spott', '.']",
229,seinel can,,,,,LSch,Emotionale Bewegtheit,58657,CATMA_E3A0BDD8-A55C-4354-93E0-661ED75161F0,21,Emotionale Bewegtheit,Emotionale Bewegtheit,58554,Emotionale Bewegtheit,"O Persens heisse Pest! ist diß was Abas drücket?
Warumb das Vnthir nicht stracks von der Welt gerücket?","['O', 'Persens', 'heisse', 'Pest', '!', 'ist', 'diß', 'was', 'Abas', 'drücket', '?', 'Warumb', 'das', 'Vnthir', 'nicht', 'stracks', 'von', 'der', 'Welt', 'gerücket', '?']",
230,,,catharina,,,LSch,positiv,59215,CATMA_0903672F-D6F3-406E-951B-221AD33E4CFA,108,Emotionen der Zuneigung,positiv,58667,Liebe,"O Blinder! du verstehst nicht was die Liebe kan!
Kom her bethörter Mensch; schaw deinen Fürsten an!
Gib acht auff sein Gesicht / auff sein stets-heisses sehnen /
Auff den erblasten Mund / vnd jmmer neue Thränen /
Auff den der Chaldar13

 offt mit Flam vnd Schwerdt gedreut /
Der keiner Feinde Grimm / ja nicht den Tod gescheut /
Der wo der Tag entsteht vnd weicht / die Welt gezwungen /
Der gegen Sud vnd Nord die Waffen fort gedrungen /
Vnd auff der Völcker Kopff mit stoltzen Füssen sprang!
Den hält die strenge Macht der stoltzen Lib' im zwang.
","['O', 'Blinder', '!', 'du', 'verstehst', 'nicht', 'was', 'die', 'Liebe', 'kan', '!', 'Kom', 'her', 'bethörter', 'Mensch', ';', 'schaw', 'deinen', 'Fürsten', 'an', '!', 'Gib', 'acht', 'auff', 'sein', 'Gesicht', '/', 'auff', 'sein', 'stets-heisses', 'sehnen', '/', 'Auff', 'den', 'erblasten', 'Mund', '/', 'vnd', 'jmmer', 'neue', 'Thränen', '/', 'Auff', 'den', 'der', 'Chaldar13', 'offt', 'mit', 'Flam', 'vnd', 'Schwerdt', 'gedreut', '/', 'Der', 'keiner', 'Feinde', 'Grimm', '/', 'ja', 'nicht', 'den', 'Tod', 'gescheut', '/', 'Der', 'wo', 'der', 'Tag', 'entsteht', 'vnd', 'weicht', '/', 'die', 'Welt', 'gezwungen', '/', 'Der', 'gegen', 'Sud', 'vnd', 'Nord', 'die', 'Waffen', 'fort', 'gedrungen', '/', 'Vnd', 'auff', 'der', 'Völcker', 'Kopff', 'mit', 'stoltzen', 'Füssen', 'sprang', '!', 'Den', 'hält', 'die', 'strenge', 'Macht', 'der', 'stoltzen', 'Lib', ""'"", 'im', 'zwang', '.']",
231,,,,,,LSch,negativ,59215,CATMA_8A7023B8-AE3C-4153-BC63-9D6FA203E9CA,108,Emotionen des Leids,negativ,58667,Leid,"O Blinder! du verstehst nicht was die Liebe kan!
Kom her bethörter Mensch; schaw deinen Fürsten an!
Gib acht auff sein Gesicht / auff sein stets-heisses sehnen /
Auff den erblasten Mund / vnd jmmer neue Thränen /
Auff den der Chaldar13

 offt mit Flam vnd Schwerdt gedreut /
Der keiner Feinde Grimm / ja nicht den Tod gescheut /
Der wo der Tag entsteht vnd weicht / die Welt gezwungen /
Der gegen Sud vnd Nord die Waffen fort gedrungen /
Vnd auff der Völcker Kopff mit stoltzen Füssen sprang!
Den hält die strenge Macht der stoltzen Lib' im zwang.
","['O', 'Blinder', '!', 'du', 'verstehst', 'nicht', 'was', 'die', 'Liebe', 'kan', '!', 'Kom', 'her', 'bethörter', 'Mensch', ';', 'schaw', 'deinen', 'Fürsten', 'an', '!', 'Gib', 'acht', 'auff', 'sein', 'Gesicht', '/', 'auff', 'sein', 'stets-heisses', 'sehnen', '/', 'Auff', 'den', 'erblasten', 'Mund', '/', 'vnd', 'jmmer', 'neue', 'Thränen', '/', 'Auff', 'den', 'der', 'Chaldar13', 'offt', 'mit', 'Flam', 'vnd', 'Schwerdt', 'gedreut', '/', 'Der', 'keiner', 'Feinde', 'Grimm', '/', 'ja', 'nicht', 'den', 'Tod', 'gescheut', '/', 'Der', 'wo', 'der', 'Tag', 'entsteht', 'vnd', 'weicht', '/', 'die', 'Welt', 'gezwungen', '/', 'Der', 'gegen', 'Sud', 'vnd', 'Nord', 'die', 'Waffen', 'fort', 'gedrungen', '/', 'Vnd', 'auff', 'der', 'Völcker', 'Kopff', 'mit', 'stoltzen', 'Füssen', 'sprang', '!', 'Den', 'hält', 'die', 'strenge', 'Macht', 'der', 'stoltzen', 'Lib', ""'"", 'im', 'zwang', '.']",
232,,,,,,LSch,negativ,58995,CATMA_CDAF1CB8-438C-462E-8A80-9EE56C3AFA84,11,Emotionen der Angst,negativ,58942,Angst,Der keiner Feinde Grimm / ja nicht den Tod gescheut /,"['Der', 'keiner', 'Feinde', 'Grimm', '/', 'ja', 'nicht', 'den', 'Tod', 'gescheut', '/']",
233,,seinel can,,,,LSch,negativ,59579,CATMA_8557767D-2965-4A22-B9A0-CBACE66647A6,68,Emotionen des Leids,negativ,59228,Leid,"Ists möglich das diß Weib / die nur der Persen schaden /
Die so erhitzt gesucht in vnserm Blut zu baden /
Die mit den Feinden spilt / vnd feindlich vns verletzt /
Die sich dem Siger selbst hochmüttig widersetzt /

Die voll von Aberwitz ein Creutz pflegt anzubeten
Die nur nicht werth / mein Fürst / für sein Gesicht zu tretten;
Sey Vrsach diser Pein?
","['Ists', 'möglich', 'das', 'diß', 'Weib', '/', 'die', 'nur', 'der', 'Persen', 'schaden', '/', 'Die', 'so', 'erhitzt', 'gesucht', 'in', 'vnserm', 'Blut', 'zu', 'baden', '/', 'Die', 'mit', 'den', 'Feinden', 'spilt', '/', 'vnd', 'feindlich', 'vns', 'verletzt', '/', 'Die', 'sich', 'dem', 'Siger', 'selbst', 'hochmüttig', 'widersetzt', '/', 'Die', 'voll', 'von', 'Aberwitz', 'ein', 'Creutz', 'pflegt', 'anzubeten', 'Die', 'nur', 'nicht', 'werth', '/', 'mein', 'Fürst', '/', 'für', 'sein', 'Gesicht', 'zu', 'tretten', ';', 'Sey', 'Vrsach', 'diser', 'Pein', '?']",
234,seinel can,,,,,LSch,negativ,59579,CATMA_87655E79-94CE-4932-B32B-8E174D53688B,68,Emotionen der Ablehnung,negativ,59228,Abscheu,"Ists möglich das diß Weib / die nur der Persen schaden /
Die so erhitzt gesucht in vnserm Blut zu baden /
Die mit den Feinden spilt / vnd feindlich vns verletzt /
Die sich dem Siger selbst hochmüttig widersetzt /

Die voll von Aberwitz ein Creutz pflegt anzubeten
Die nur nicht werth / mein Fürst / für sein Gesicht zu tretten;
Sey Vrsach diser Pein?
","['Ists', 'möglich', 'das', 'diß', 'Weib', '/', 'die', 'nur', 'der', 'Persen', 'schaden', '/', 'Die', 'so', 'erhitzt', 'gesucht', 'in', 'vnserm', 'Blut', 'zu', 'baden', '/', 'Die', 'mit', 'den', 'Feinden', 'spilt', '/', 'vnd', 'feindlich', 'vns', 'verletzt', '/', 'Die', 'sich', 'dem', 'Siger', 'selbst', 'hochmüttig', 'widersetzt', '/', 'Die', 'voll', 'von', 'Aberwitz', 'ein', 'Creutz', 'pflegt', 'anzubeten', 'Die', 'nur', 'nicht', 'werth', '/', 'mein', 'Fürst', '/', 'für', 'sein', 'Gesicht', 'zu', 'tretten', ';', 'Sey', 'Vrsach', 'diser', 'Pein', '?']",
235,,,,,,LSch,positiv,59868,CATMA_BA82ACB6-9D49-404E-AF0A-1E11BE090686,60,Emotionen der Zuneigung,positiv,59588,Liebe,"Wie? darfst du für vns schmehn /
Die dein geborner Fürst mit Lust pflegt anzusehn?
Vnd mit entsetzung ehrt? darff sich ein Knecht vermessen
Zu lästern was vns lib? hast du so bald vergessen
Wer Abas sey vnd du. Kom aber zeig vns an
Ob du ein Weib gesehn daß man jhr gleichen kan?
","['Wie', '?', 'darfst', 'du', 'für', 'vns', 'schmehn', '/', 'Die', 'dein', 'geborner', 'Fürst', 'mit', 'Lust', 'pflegt', 'anzusehn', '?', 'Vnd', 'mit', 'entsetzung', 'ehrt', '?', 'darff', 'sich', 'ein', 'Knecht', 'vermessen', 'Zu', 'lästern', 'was', 'vns', 'lib', '?', 'hast', 'du', 'so', 'bald', 'vergessen', 'Wer', 'Abas', 'sey', 'vnd', 'du', '.', 'Kom', 'aber', 'zeig', 'vns', 'an', 'Ob', 'du', 'ein', 'Weib', 'gesehn', 'daß', 'man', 'jhr', 'gleichen', 'kan', '?']",
236,,,,,,LSch,negativ,59868,CATMA_FC55AF54-4175-40E4-81EA-54A985721152,60,Emotionen der Ablehnung,negativ,59588,Ärger,"Wie? darfst du für vns schmehn /
Die dein geborner Fürst mit Lust pflegt anzusehn?
Vnd mit entsetzung ehrt? darff sich ein Knecht vermessen
Zu lästern was vns lib? hast du so bald vergessen
Wer Abas sey vnd du. Kom aber zeig vns an
Ob du ein Weib gesehn daß man jhr gleichen kan?
","['Wie', '?', 'darfst', 'du', 'für', 'vns', 'schmehn', '/', 'Die', 'dein', 'geborner', 'Fürst', 'mit', 'Lust', 'pflegt', 'anzusehn', '?', 'Vnd', 'mit', 'entsetzung', 'ehrt', '?', 'darff', 'sich', 'ein', 'Knecht', 'vermessen', 'Zu', 'lästern', 'was', 'vns', 'lib', '?', 'hast', 'du', 'so', 'bald', 'vergessen', 'Wer', 'Abas', 'sey', 'vnd', 'du', '.', 'Kom', 'aber', 'zeig', 'vns', 'an', 'Ob', 'du', 'ein', 'Weib', 'gesehn', 'daß', 'man', 'jhr', 'gleichen', 'kan', '?']",
237,seinel can,,,,,LSch,positiv,59961,CATMA_8A60026B-DC8B-4D2B-B1CA-5D685321083D_0,18,Emotionen der Zuneigung,positiv,59881,Verehrung,"Mein Fürst / ich geb es nach daß keine sey zu finden
An Schönheit / an Verstand.","['Mein', 'Fürst', '/', 'ich', 'geb', 'es', 'nach', 'daß', 'keine', 'sey', 'zu', 'finden', 'An', 'Schönheit', '/', 'an', 'Verstand', '.']",
238,seinel can,,,,,LSch,positiv,60017,CATMA_8A60026B-DC8B-4D2B-B1CA-5D685321083D_1,3,Emotionen der Zuneigung,positiv,60007,Verehrung,An Tugend.,"['An', 'Tugend', '.']",
239,seinel can,,,,,LSch,positiv,60067,CATMA_8A60026B-DC8B-4D2B-B1CA-5D685321083D_2,3,Emotionen der Zuneigung,positiv,60052,Verehrung,An Herrligkeit.,"['An', 'Herrligkeit', '.']",
240,seinel can,,,,,LSch,positiv,60124,CATMA_8A60026B-DC8B-4D2B-B1CA-5D685321083D_3,7,Emotionen der Zuneigung,positiv,60096,Verehrung,"Die nicht / weit vnter jhr.
","['Die', 'nicht', '/', 'weit', 'vnter', 'jhr', '.']",
241,seinel can,,,,,LSch,positiv,60268,CATMA_8A60026B-DC8B-4D2B-B1CA-5D685321083D_4,9,Emotionen der Zuneigung,positiv,60223,Verehrung,Die zarte Lilie muß den edlen Wangen weichen.,"['Die', 'zarte', 'Lilie', 'muß', 'den', 'edlen', 'Wangen', 'weichen', '.']",
242,seinel can,,,,,LSch,positiv,60356,CATMA_8A60026B-DC8B-4D2B-B1CA-5D685321083D_5,9,Emotionen der Zuneigung,positiv,60312,Verehrung,"Die Lippen von Corall
Der Augen helle Stern.","['Die', 'Lippen', 'von', 'Corall', 'Der', 'Augen', 'helle', 'Stern', '.']",
243,seinel can,,,,,LSch,positiv,60506,CATMA_8A60026B-DC8B-4D2B-B1CA-5D685321083D_6,9,Emotionen der Zuneigung,positiv,60458,Verehrung,"Man siht die Majestet Personlich in jhr stehen.
","['Man', 'siht', 'die', 'Majestet', 'Personlich', 'in', 'jhr', 'stehen', '.']",
244,seinel can,,,,,LSch,positiv,60581,CATMA_8A60026B-DC8B-4D2B-B1CA-5D685321083D_7,3,Emotionen der Zuneigung,positiv,60559,Verehrung,"Wolredenheit den Mund
","['Wolredenheit', 'den', 'Mund']",
245,chach abas,,catharina,,,LSch,positiv,59994,CATMA_C554D059-CCC3-4A82-8BF9-ECCC02C33A95_0,5,Emotionen der Zuneigung,positiv,59971,Liebe,an Kunst zu überwinden.,"['an', 'Kunst', 'zu', 'überwinden', '.']",
246,chach abas,,catharina,,,LSch,positiv,60039,CATMA_C554D059-CCC3-4A82-8BF9-ECCC02C33A95_1,4,Emotionen der Zuneigung,positiv,60026,Liebe,Vnd an Zucht.,"['Vnd', 'an', 'Zucht', '.']",
247,chach abas,,catharina,,,LSch,positiv,60083,CATMA_C554D059-CCC3-4A82-8BF9-ECCC02C33A95_2,2,Emotionen der Zuneigung,positiv,60076,Liebe,An Ruhm,"['An', 'Ruhm']",
248,chach abas,,catharina,,,LSch,positiv,60153,CATMA_C554D059-CCC3-4A82-8BF9-ECCC02C33A95_3,5,Emotionen der Zuneigung,positiv,60132,Liebe,"O aller Blumen Blum!
","['O', 'aller', 'Blumen', 'Blum', '!']",
249,chach abas,,catharina,,,LSch,positiv,60210,CATMA_C554D059-CCC3-4A82-8BF9-ECCC02C33A95_4,8,Emotionen der Zuneigung,positiv,60161,Liebe,Welch Alabaster kan der Stirnen Schnee erreichen?,"['Welch', 'Alabaster', 'kan', 'der', 'Stirnen', 'Schnee', 'erreichen', '?']",
250,chach abas,,catharina,,,LSch,positiv,60299,CATMA_C554D059-CCC3-4A82-8BF9-ECCC02C33A95_5,4,Emotionen der Zuneigung,positiv,60277,Liebe,Der Nasen Helffenbein.,"['Der', 'Nasen', 'Helffenbein', '.']",
