,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
187,paul_werner (Paul Werner),,,,,LS,negativ,88079,CATMA_85903775-932B-4673-98A4-55739245B70A,22,Emotionen des Leids,negativ,87953,Mitleid,"Sie brauchen es nicht? Und verkaufen lieber, und versetzen lieber, und bringen sich
              lieber in der Leute Mäuler?
","['Sie', 'brauchen', 'es', 'nicht', '?', 'Und', 'verkaufen', 'lieber', ',', 'und', 'versetzen', 'lieber', ',', 'und', 'bringen', 'sich', 'lieber', 'in', 'der', 'Leute', 'Mäuler', '?']"
188,,,,,,LS,negativ,88219,CATMA_E213D4F3-EB08-4AA6-B8A1-1FDFCBC9C128,24,Emotionen des Leids,negativ,88094,Leid,"Die Leute mögen es immer wissen, daß ich nichts mehr habe. Man muß nicht reicher
              scheinen wollen, als man ist.
","['Die', 'Leute', 'mögen', 'es', 'immer', 'wissen', ',', 'daß', 'ich', 'nichts', 'mehr', 'habe', '.', 'Man', 'muß', 'nicht', 'reicher', 'scheinen', 'wollen', ',', 'als', 'man', 'ist', '.']"
189,,,,,,LS,positiv,88286,CATMA_5F2AED33-2D05-4223-A871-95BFBBD4F74B,14,Emotionen der Zuneigung,positiv,88228,Freundschaft,"Aber warum ärmer? – Wir haben, so lange unser Freund hat.
","['Aber', 'warum', 'ärmer', '?', '–', 'Wir', 'haben', ',', 'so', 'lange', 'unser', 'Freund', 'hat', '.']"
190,,,,,,LS,positiv,89009,CATMA_A48B0835-74A6-496E-82C9-0590415FDA49,120,Emotionen der Zuneigung,positiv,88359,Freundschaft,"Ziemt sich nicht? – Wenn an einem heißen Tage, den uns die Sonne und der Feind heiß
              machte, sich Ihr Reitknecht mit den Kantinen verloren hatte; und Sie zu mir kamen, und
              sagten: Werner hast du nichts zu trinken? und ich Ihnen meine Feldflasche reichte,
              nicht wahr, Sie  nahmen und tranken? – Ziemte sich das? – Bei meiner
              armen Seele, wenn ein Trunk faules Wasser damals nicht oft mehr wert war, als alle der
              Quark! Indem er auch den Beutel mit den Louisdoren heraus zieht, und ihm beides
                hinreicht.
 Nehmen Sie, lieber Major! Bilden Sie sich ein, es ist Wasser.
","['Ziemt', 'sich', 'nicht', '?', '–', 'Wenn', 'an', 'einem', 'heißen', 'Tage', ',', 'den', 'uns', 'die', 'Sonne', 'und', 'der', 'Feind', 'heiß', 'machte', ',', 'sich', 'Ihr', 'Reitknecht', 'mit', 'den', 'Kantinen', 'verloren', 'hatte', ';', 'und', 'Sie', 'zu', 'mir', 'kamen', ',', 'und', 'sagten', ':', 'Werner', 'hast', 'du', 'nichts', 'zu', 'trinken', '?', 'und', 'ich', 'Ihnen', 'meine', 'Feldflasche', 'reichte', ',', 'nicht', 'wahr', ',', 'Sie', 'nahmen', 'und', 'tranken', '?', '–', 'Ziemte', 'sich', 'das', '?', '–', 'Bei', 'meiner', 'armen', 'Seele', ',', 'wenn', 'ein', 'Trunk', 'faules', 'Wasser', 'damals', 'nicht', 'oft', 'mehr', 'wert', 'war', ',', 'als', 'alle', 'der', 'Quark', '!', 'Indem', 'er', 'auch', 'den', 'Beutel', 'mit', 'den', 'Louisdoren', 'heraus', 'zieht', ',', 'und', 'ihm', 'beides', 'hinreicht', '.', 'Nehmen', 'Sie', ',', 'lieber', 'Major', '!', 'Bilden', 'Sie', 'sich', 'ein', ',', 'es', 'ist', 'Wasser', '.']"
191,,,,,,LS,negativ,89093,CATMA_3F0DA39F-D5A5-429B-BD3D-390A3831218A,3,Emotionen des Leids,negativ,89077,Leid,Du marterst mich,"['Du', 'marterst', 'mich']"
192,,,,,,LS,positiv,89147,CATMA_E24F1BB2-6B6C-4087-9B95-A448BA206E18,16,Emotionen der Zuneigung,positiv,89077,Freundschaft,"Du marterst mich; du hörst es ja, ich will dein Schuldner nicht sein.
","['Du', 'marterst', 'mich', ';', 'du', 'hörst', 'es', 'ja', ',', 'ich', 'will', 'dein', 'Schuldner', 'nicht', 'sein', '.']"
193,,,,,,LS,negativ,89869,CATMA_B4D8F32A-66E7-43E4-BE7D-851D05859773,109,Emotionen der Ablehnung,negativ,89229,Ärger,"Etwas
                ärgerlich.
 Sie wollen mein Schuldner nicht sein? Wenn Sie es denn aber schon
              wären, Herr Major? Oder sind Sie dem Manne nichts schuldig, der einmal den Hieb
              auffing, der Ihnen den Kopf spalten sollte, und ein andermal den Arm vom Rumpfe hieb,
              der eben losdrücken und Ihnen die Kugel durch die Brust jagen wollte? – Was können Sie
              diesem Manne mehr schuldig werden? Oder hat es mit meinem Halse weniger zu sagen, als
              mit meinem Beutel? – Wenn das vornehm gedacht ist, bei meiner armen Seele, so ist es
              auch sehr abgeschmackt gedacht!
","['Etwas', 'ärgerlich', '.', 'Sie', 'wollen', 'mein', 'Schuldner', 'nicht', 'sein', '?', 'Wenn', 'Sie', 'es', 'denn', 'aber', 'schon', 'wären', ',', 'Herr', 'Major', '?', 'Oder', 'sind', 'Sie', 'dem', 'Manne', 'nichts', 'schuldig', ',', 'der', 'einmal', 'den', 'Hieb', 'auffing', ',', 'der', 'Ihnen', 'den', 'Kopf', 'spalten', 'sollte', ',', 'und', 'ein', 'andermal', 'den', 'Arm', 'vom', 'Rumpfe', 'hieb', ',', 'der', 'eben', 'losdrücken', 'und', 'Ihnen', 'die', 'Kugel', 'durch', 'die', 'Brust', 'jagen', 'wollte', '?', '–', 'Was', 'können', 'Sie', 'diesem', 'Manne', 'mehr', 'schuldig', 'werden', '?', 'Oder', 'hat', 'es', 'mit', 'meinem', 'Halse', 'weniger', 'zu', 'sagen', ',', 'als', 'mit', 'meinem', 'Beutel', '?', '–', 'Wenn', 'das', 'vornehm', 'gedacht', 'ist', ',', 'bei', 'meiner', 'armen', 'Seele', ',', 'so', 'ist', 'es', 'auch', 'sehr', 'abgeschmackt', 'gedacht', '!']"
194,,paul_werner (Paul Werner),,,,LS,negativ,89606,CATMA_765BCC39-B6E7-429D-935A-8184ED024DF2,43,Emotionen des Leids,negativ,89362,Leid,"Oder sind Sie dem Manne nichts schuldig, der einmal den Hieb
              auffing, der Ihnen den Kopf spalten sollte, und ein andermal den Arm vom Rumpfe hieb,
              der eben losdrücken und Ihnen die Kugel durch die Brust jagen wollte?","['Oder', 'sind', 'Sie', 'dem', 'Manne', 'nichts', 'schuldig', ',', 'der', 'einmal', 'den', 'Hieb', 'auffing', ',', 'der', 'Ihnen', 'den', 'Kopf', 'spalten', 'sollte', ',', 'und', 'ein', 'andermal', 'den', 'Arm', 'vom', 'Rumpfe', 'hieb', ',', 'der', 'eben', 'losdrücken', 'und', 'Ihnen', 'die', 'Kugel', 'durch', 'die', 'Brust', 'jagen', 'wollte', '?']"
195,,,,,,LS,positiv,90115,CATMA_00D8EFDA-939D-4D7E-8326-00882CC49784_0,16,Emotionen der Zuneigung,positiv,90024,Verehrung," Ich bekenne es mit Vergnügen, daß ich dir
              zweimal mein Leben zu danken habe.","['Ich', 'bekenne', 'es', 'mit', 'Vergnügen', ',', 'daß', 'ich', 'dir', 'zweimal', 'mein', 'Leben', 'zu', 'danken', 'habe', '.']"
196,,,,,,LS,positiv,90240,CATMA_00D8EFDA-939D-4D7E-8326-00882CC49784_1,25,Emotionen der Zuneigung,positiv,90116,Verehrung,"Aber, Freund, woran fehlte mir es, daß ich bei
              Gelegenheit nicht eben so viel für dich würde getan haben? He!
","['Aber', ',', 'Freund', ',', 'woran', 'fehlte', 'mir', 'es', ',', 'daß', 'ich', 'bei', 'Gelegenheit', 'nicht', 'eben', 'so', 'viel', 'für', 'dich', 'würde', 'getan', 'haben', '?', 'He', '!']"
197,,,,,,LS,positiv,90456,CATMA_66F1BF23-7850-444C-AEB6-CD7613743553,35,Emotionen der Zuneigung,positiv,90249,Verehrung,"Nur an der Gelegenheit! Wer hat daran gezweifelt, Herr Major? Habe ich Sie nicht
              hundertmal für den gemeinsten Soldaten, wenn er ins Gedränge gekommen war, Ihr Leben
              wagen sehen?
","['Nur', 'an', 'der', 'Gelegenheit', '!', 'Wer', 'hat', 'daran', 'gezweifelt', ',', 'Herr', 'Major', '?', 'Habe', 'ich', 'Sie', 'nicht', 'hundertmal', 'für', 'den', 'gemeinsten', 'Soldaten', ',', 'wenn', 'er', 'ins', 'Gedränge', 'gekommen', 'war', ',', 'Ihr', 'Leben', 'wagen', 'sehen', '?']"
198,,von_tellheim (Major von Tellheim),,,,LS,positiv,92400,CATMA_755F8E16-00B6-406B-8D91-49CEEC71C4EA,39,Emotionen der Zuneigung,positiv,92183,Verehrung,"    Man muß Soldat sein, für sein Land; oder aus Liebe zu der Sache, für die gefochten
              wird. Ohne Absicht heute hier, morgen da dienen: heißt wie ein Fleischerknecht reisen,
              weiter nichts.
","['Man', 'muß', 'Soldat', 'sein', ',', 'für', 'sein', 'Land', ';', 'oder', 'aus', 'Liebe', 'zu', 'der', 'Sache', ',', 'für', 'die', 'gefochten', 'wird', '.', 'Ohne', 'Absicht', 'heute', 'hier', ',', 'morgen', 'da', 'dienen', ':', 'heißt', 'wie', 'ein', 'Fleischerknecht', 'reisen', ',', 'weiter', 'nichts', '.']"
199,,,,,,LS,positiv,93203,CATMA_ABF0C88E-7EAA-4D56-9F67-6B6BD09C0D6B,66,Emotionen der Zuneigung,positiv,92850,Verehrung,"Bei meiner armen Seele, ich tu es nur der Interessen wegen! – Wenn ich manchmal
              dachte: wie wird es  mit dir aufs Alter werden? wenn du zu Schanden
              gehauen bist? wenn du nichts haben wirst? wenn du wirst betteln gehen müssen? So
              dachte ich wieder: Nein, du wirst nicht betteln gehn; du wirst zum Major Tellheim
","['Bei', 'meiner', 'armen', 'Seele', ',', 'ich', 'tu', 'es', 'nur', 'der', 'Interessen', 'wegen', '!', '–', 'Wenn', 'ich', 'manchmal', 'dachte', ':', 'wie', 'wird', 'es', 'mit', 'dir', 'aufs', 'Alter', 'werden', '?', 'wenn', 'du', 'zu', 'Schanden', 'gehauen', 'bist', '?', 'wenn', 'du', 'nichts', 'haben', 'wirst', '?', 'wenn', 'du', 'wirst', 'betteln', 'gehen', 'müssen', '?', 'So', 'dachte', 'ich', 'wieder', ':', 'Nein', ',', 'du', 'wirst', 'nicht', 'betteln', 'gehn', ';', 'du', 'wirst', 'zum', 'Major', 'Tellheim']"
200,,,,,,LS,positiv,93372,CATMA_81877090-6CE3-4212-81E5-B632047C0D88,29,Emotionen der Zuneigung,positiv,93203,Verehrung,"              gehn; der wird seinen letzten Pfennig mit dir teilen; der wird dich zu Tode füttern;
              bei dem wirst du als ein ehrlicher Kerl sterben können.
","['gehn', ';', 'der', 'wird', 'seinen', 'letzten', 'Pfennig', 'mit', 'dir', 'teilen', ';', 'der', 'wird', 'dich', 'zu', 'Tode', 'füttern', ';', 'bei', 'dem', 'wirst', 'du', 'als', 'ein', 'ehrlicher', 'Kerl', 'sterben', 'können', '.']"
201,,,,,,LS,positiv,93682,CATMA_11078D59-9FF1-42BE-96BA-45E9B04E082F,46,Emotionen der Zuneigung,positiv,93467,Freundschaft,"Nein, das denk ich nicht mehr. – Wer von mir nichts annehmen will, wenn ers bedarf,
              und ichs habe; der will mir auch nichts geben, wenn ers hat, und ichs bedarf. – Schon
              gut! Will gehen.
","['Nein', ',', 'das', 'denk', 'ich', 'nicht', 'mehr', '.', '–', 'Wer', 'von', 'mir', 'nichts', 'annehmen', 'will', ',', 'wenn', 'ers', 'bedarf', ',', 'und', 'ichs', 'habe', ';', 'der', 'will', 'mir', 'auch', 'nichts', 'geben', ',', 'wenn', 'ers', 'hat', ',', 'und', 'ichs', 'bedarf', '.', '–', 'Schon', 'gut', '!', 'Will', 'gehen', '.']"
202,,,,,,LS,positiv,94089,CATMA_77F508BC-A7D1-4D15-847C-7D2F66269AB6,75,Emotionen der Zuneigung,positiv,93698,Freundschaft,"Mensch, mache mich nicht rasend! Wo willst du hin? Hält ihn zurück.

              Wenn ich dich nun auf meine Ehre versichere, daß ich noch Geld habe; wenn ich dir auf
              meine Ehre verspreche, daß ich dir es sagen will, wenn ich keines mehr habe; daß du
              der erste und einzige sein sollst, bei dem ich mir etwas borgen will: – Bist du dann
              zufrieden?
","['Mensch', ',', 'mache', 'mich', 'nicht', 'rasend', '!', 'Wo', 'willst', 'du', 'hin', '?', 'Hält', 'ihn', 'zurück', '.', 'Wenn', 'ich', 'dich', 'nun', 'auf', 'meine', 'Ehre', 'versichere', ',', 'daß', 'ich', 'noch', 'Geld', 'habe', ';', 'wenn', 'ich', 'dir', 'auf', 'meine', 'Ehre', 'verspreche', ',', 'daß', 'ich', 'dir', 'es', 'sagen', 'will', ',', 'wenn', 'ich', 'keines', 'mehr', 'habe', ';', 'daß', 'du', 'der', 'erste', 'und', 'einzige', 'sein', 'sollst', ',', 'bei', 'dem', 'ich', 'mir', 'etwas', 'borgen', 'will', ':', '–', 'Bist', 'du', 'dann', 'zufrieden', '?']"
203,,paul_werner (Paul Werner),,,,LS,positiv,95553,CATMA_D3AAE34D-FBE2-444F-A272-1BA2C7AA9A53,12,Emotionen der Zuneigung,positiv,95501,Liebe,"Ist Ihnen das Fräulein auch so gut, wie das Mädchen?","['Ist', 'Ihnen', 'das', 'Fräulein', 'auch', 'so', 'gut', ',', 'wie', 'das', 'Mädchen', '?']"
204,,franziska (Franziska),,,,LS,positiv,95918,CATMA_56A649E0-F806-4C7C-A08A-31F74A1F0F29,8,Emotionen der Zuneigung,positiv,95891,Freundschaft,"Ich weiß, Sie sind mir gut.","['Ich', 'weiß', ',', 'Sie', 'sind', 'mir', 'gut', '.']"
205,,,,,,LS,positiv,95947,CATMA_F3C5D262-E94A-47E6-A96B-0CCF698F01B1,3,Emotionen der Zuneigung,positiv,95919,Freundschaft,"Ich
              Ihnen auch","['Ich', 'Ihnen', 'auch']"
206,"['das_fraeulein (Minna von Barnhelm)', 'franziska (Franziska)']",,,,,LS,negativ,96042,CATMA_67889716-A028-4250-BA31-73783675F444,19,Emotionen der Ablehnung,negativ,95949,Ärger,"Aber das ist gar nicht artig, daß Sie Leute, die Ihnen gut sind, so
              ängstigen.
","['Aber', 'das', 'ist', 'gar', 'nicht', 'artig', ',', 'daß', 'Sie', 'Leute', ',', 'die', 'Ihnen', 'gut', 'sind', ',', 'so', 'ängstigen', '.']"
207,,,,,,LS,positiv,96094,CATMA_7CA0130A-2E25-4328-9AE9-0098E7706C4C,13,Emotionen der Freude,positiv,96050,Freude,"vor sich.
Ha, nun merk ich. Es ist richtig!
","['vor', 'sich', '.', 'Ha', ',', 'nun', 'merk', 'ich', '.', 'Es', 'ist', 'richtig', '!']"
208,von_tellheim (Major von Tellheim),,,,,LS,positiv,96466,CATMA_C58BF9C5-CDDA-44F0-9660-BEBDDC6699E7,2,Emotionen der Freude,positiv,96455,Freude,"Schäkerin!
","['Schäkerin', '!']"
209,,,,,,LS,Emotionale Bewegtheit,96930,CATMA_FE2183DA-03B7-439B-90E1-8E2CD4B97405,18,Emotionale Bewegtheit,Emotionale Bewegtheit,96846,Emotionale Bewegtheit,"Von mir selbst hören? Damit mich jedes Wort, jede Miene von ihr verwirre; damit ich
","['Von', 'mir', 'selbst', 'hören', '?', 'Damit', 'mich', 'jedes', 'Wort', ',', 'jede', 'Miene', 'von', 'ihr', 'verwirre', ';', 'damit', 'ich']"
210,,,,,,LS,Emotionale Bewegtheit,97010,CATMA_1DDD8DDE-500F-4CCB-9ED4-E53EBA4CE133,12,Emotionale Bewegtheit,Emotionale Bewegtheit,96930,Emotionale Bewegtheit,"              in jedem ihrer Blicke die ganze Größe meines Verlusts empfinde? –
","['in', 'jedem', 'ihrer', 'Blicke', 'die', 'ganze', 'Größe', 'meines', 'Verlusts', 'empfinde', '?', '–']"
211,franziska (Franziska),,,,,LS,negativ,97057,CATMA_F23551CA-D5AF-47BC-A5D9-A6C6EB4759A0,7,Emotionen des Leids,negativ,97022,Mitleid,Ohne Barmherzigkeit! – Nehmen Sie! ,"['Ohne', 'Barmherzigkeit', '!', '–', 'Nehmen', 'Sie', '!']"
212,paul_werner (Paul Werner),,,,,LS,Emotionale Bewegtheit,98713,CATMA_9253231F-C9E3-4DAD-84F9-880C6C2837C0,11,Emotionale Bewegtheit,Emotionale Bewegtheit,98645,Emotionale Bewegtheit,"Frauenzimmerchen, Frauenzimmerchen, Sie wird ja wohl Spaß verstehn?
","['Frauenzimmerchen', ',', 'Frauenzimmerchen', ',', 'Sie', 'wird', 'ja', 'wohl', 'Spaß', 'verstehn', '?']"
213,,,,,,LS,Emotionale Bewegtheit,98992,CATMA_06F05C6C-1973-4E0C-9F17-DBD5E6CB5465,16,Emotionale Bewegtheit,Emotionale Bewegtheit,98895,Emotionale Bewegtheit,"Bei meiner armen Seele, ich kanns vergessen haben! – Frauenzimmerchen, ich bitte
              –
","['Bei', 'meiner', 'armen', 'Seele', ',', 'ich', 'kanns', 'vergessen', 'haben', '!', '–', 'Frauenzimmerchen', ',', 'ich', 'bitte', '–']"
214,,,,,,LS,negativ,99345,CATMA_A204D2A4-9169-415C-9760-512F7704B0A4,48,Emotionen der Angst,negativ,99083,Verzweiflung,"Wenn ich denn durchaus kommen muß, Franziska: so mache doch nur, daß das Fräulein den
              Brief vorher noch lieset. Das wird mir die Peinigung ersparen, Dinge noch einmal zu
              denken, noch einmal zu sagen, die ich so gern vergessen möchte. ","['Wenn', 'ich', 'denn', 'durchaus', 'kommen', 'muß', ',', 'Franziska', ':', 'so', 'mache', 'doch', 'nur', ',', 'daß', 'das', 'Fräulein', 'den', 'Brief', 'vorher', 'noch', 'lieset', '.', 'Das', 'wird', 'mir', 'die', 'Peinigung', 'ersparen', ',', 'Dinge', 'noch', 'einmal', 'zu', 'denken', ',', 'noch', 'einmal', 'zu', 'sagen', ',', 'die', 'ich', 'so', 'gern', 'vergessen', 'möchte', '.']"
215,,franziska (Franziska),,,,LS,positiv,100582,CATMA_733B915F-B7E8-4B43-8FA8-10AEA5500190,16,Emotionen der Zuneigung,positiv,100496,Liebe," und sehen Sie, so gar
              verliebt sind wir nicht, daß uns nicht hungerte.
","['und', 'sehen', 'Sie', ',', 'so', 'gar', 'verliebt', 'sind', 'wir', 'nicht', ',', 'daß', 'uns', 'nicht', 'hungerte', '.']"
216,,,,Ereignis,,LS,negativ,100735,CATMA_CE4F6EF0-02D5-44F6-9C3D-51338FC00343,26,Emotionen der Angst,negativ,100597,Angst,"Ich geh! Franziska, bereite sie indes ein wenig vor; damit ich weder in ihren, noch
              in meinen Augen verächtlich werden darf.","['Ich', 'geh', '!', 'Franziska', ',', 'bereite', 'sie', 'indes', 'ein', 'wenig', 'vor', ';', 'damit', 'ich', 'weder', 'in', 'ihren', ',', 'noch', 'in', 'meinen', 'Augen', 'verächtlich', 'werden', 'darf', '.']"
217,,,,,,LS,positiv,101025,CATMA_AF77201B-0B37-43DD-BBE9-804A3199283C,9,Emotionen der Freude,positiv,100988,Freude,"Das gefällt mir nicht übel! Geht ab.
","['Das', 'gefällt', 'mir', 'nicht', 'übel', '!', 'Geht', 'ab', '.']"
218,,,,,,LS,negativ,101448,CATMA_3E4B8D29-013A-4667-AFDD-D8D7291104F2,29,Emotionen der Ablehnung,negativ,101298,Ärger,"Aber meine Ohren werden desto mehr auf ihrer Hut gegen Ihn sein
              müssen. – Zwanzig Finger, alle voller Ringe! Ei, ei, Herr Wachtmeister!
","['Aber', 'meine', 'Ohren', 'werden', 'desto', 'mehr', 'auf', 'ihrer', 'Hut', 'gegen', 'Ihn', 'sein', 'müssen', '.', '–', 'Zwanzig', 'Finger', ',', 'alle', 'voller', 'Ringe', '!', 'Ei', ',', 'ei', ',', 'Herr', 'Wachtmeister', '!']"
219,,,,,,LS,negativ,101793,CATMA_1538FE8A-3DC2-443E-9055-5772B4C7F168,28,Emotionen der Ablehnung,negativ,101625,Abscheu,"Und hundert und
              aber hundertmal, habe ich den Major sagen hören: Das muß ein Schurke von einem
              Soldaten sein, der ein Mädchen anführen kann!","['Und', 'hundert', 'und', 'aber', 'hundertmal', ',', 'habe', 'ich', 'den', 'Major', 'sagen', 'hören', ':', 'Das', 'muß', 'ein', 'Schurke', 'von', 'einem', 'Soldaten', 'sein', ',', 'der', 'ein', 'Mädchen', 'anführen', 'kann', '!']"
220,,,,,,LS,positiv,102049,CATMA_36872539-4B0F-4C53-9919-DA2BF0FD5A03,8,Emotionen der Zuneigung,positiv,102016,Liebe,"Ich glaube, der Mann gefällt mir!","['Ich', 'glaube', ',', 'der', 'Mann', 'gefällt', 'mir', '!']"
221,,,,,,LS,positiv,102565,CATMA_5DBCD822-A5B2-45EB-BE4F-28465E9E0183,31,Emotionen der Zuneigung,positiv,102406,Liebe,"Desto besser! Sein Brief, o sein Brief! Jede Zeile sprach den ehrlichen, edlen Mann.
              Jede Weigerung, mich zu besitzen, beteuerte mir seine Liebe.","['Desto', 'besser', '!', 'Sein', 'Brief', ',', 'o', 'sein', 'Brief', '!', 'Jede', 'Zeile', 'sprach', 'den', 'ehrlichen', ',', 'edlen', 'Mann', '.', 'Jede', 'Weigerung', ',', 'mich', 'zu', 'besitzen', ',', 'beteuerte', 'mir', 'seine', 'Liebe', '.']"
222,,,,,,LS,negativ,103293,CATMA_D4EA5294-539F-4FE5-AA39-019FC534518E,21,Emotionen des Leids,negativ,103167,Leid,"Nein; aber ein Streich ist mir
              beigefallen, ihn wegen dieses Stolzes mit ähnlichem Stolze ein wenig zu martern.
","['Nein', ';', 'aber', 'ein', 'Streich', 'ist', 'mir', 'beigefallen', ',', 'ihn', 'wegen', 'dieses', 'Stolzes', 'mit', 'ähnlichem', 'Stolze', 'ein', 'wenig', 'zu', 'martern', '.']"
223,,,,,,LS,Emotionale Bewegtheit,104292,CATMA_D7AE2DDC-EF82-4938-8344-79323224DCB0,17,Emotionale Bewegtheit,Emotionale Bewegtheit,104190,Emotionale Bewegtheit,"Ich fing von hundert Dingen an zu sprechen, und Sie antworteten
              mir auf jedes verkehrt. ","['Ich', 'fing', 'von', 'hundert', 'Dingen', 'an', 'zu', 'sprechen', ',', 'und', 'Sie', 'antworteten', 'mir', 'auf', 'jedes', 'verkehrt', '.']"
224,,,franziska (Franziska),,,LS,positiv,104456,CATMA_E47895D4-4488-4717-9589-5A7852F30B8C,5,Emotionen der Freude,positiv,104409,Freude,"Der liebe melancholische
              Kaffee!
","['Der', 'liebe', 'melancholische', 'Kaffee', '!']"
225,,,,,,LS,negativ,104921,CATMA_A4F89EE6-D0D1-4A81-A520-AA940F4B6196,30,Emotionen des Leids,negativ,104736,Mitleid,"Der Mann, der mich jetzt mit allen
              Reichtümern verweigert, wird mich der ganzen Welt streitig machen, sobald er hört, daß
              ich unglücklich und verlassen bin.
","['Der', 'Mann', ',', 'der', 'mich', 'jetzt', 'mit', 'allen', 'Reichtümern', 'verweigert', ',', 'wird', 'mich', 'der', 'ganzen', 'Welt', 'streitig', 'machen', ',', 'sobald', 'er', 'hört', ',', 'daß', 'ich', 'unglücklich', 'und', 'verlassen', 'bin', '.']"
226,,,,,,LS,negativ,104921,CATMA_C832875E-62F9-4021-B170-BACF37151424,7,Emotionen des Leids,negativ,104868,Leid,"daß
              ich unglücklich und verlassen bin.
","['daß', 'ich', 'unglücklich', 'und', 'verlassen', 'bin', '.']"
227,unpersönlich,franziska (Franziska),,,,LS,negativ,105004,CATMA_09F32FE6-73B8-4D3F-A5D4-6B90470917DC,10,Emotionen des Leids,negativ,104948,Leid,Und so was muß die feinste Eigenliebe unendlich kützeln.,"['Und', 'so', 'was', 'muß', 'die', 'feinste', 'Eigenliebe', 'unendlich', 'kützeln', '.']"
228,,,,,,LS,negativ,105162,CATMA_8E50E9FB-8201-448B-A153-01CF1A12BBE5,26,Emotionen der Ablehnung,negativ,105020,Ärger,"Sittenrichterin! Seht doch! vorhin ertappte sie mich auf Eitelkeit; jetzt auf
              Eigenliebe. – Nun, laß mich  nur, liebe Franziska.","['Sittenrichterin', '!', 'Seht', 'doch', '!', 'vorhin', 'ertappte', 'sie', 'mich', 'auf', 'Eitelkeit', ';', 'jetzt', 'auf', 'Eigenliebe', '.', '–', 'Nun', ',', 'laß', 'mich', 'nur', ',', 'liebe', 'Franziska', '.']"
229,,franziska (Franziska),,,,LS,positiv,105246,CATMA_D7C3958B-03DF-47D9-98B0-6BC6C910E77D,13,Emotionen der Zuneigung,positiv,105163,Liebe,"Du sollst mit deinem
              Wachtmeister auch machen können, was du willst.
","['Du', 'sollst', 'mit', 'deinem', 'Wachtmeister', 'auch', 'machen', 'können', ',', 'was', 'du', 'willst', '.']"
230,,,,,,LS,positiv,105500,CATMA_FF6C955B-A526-41C6-BA90-74FB3FCFD946,26,Emotionen der Zuneigung,positiv,105353,Liebe,"Ich habe ihn noch nicht
              gesehen; aber aus jedem Worte, das du mir von ihm gesagt hast, prophezeie ich dir
              deinen Mann.
","['Ich', 'habe', 'ihn', 'noch', 'nicht', 'gesehen', ';', 'aber', 'aus', 'jedem', 'Worte', ',', 'das', 'du', 'mir', 'von', 'ihm', 'gesagt', 'hast', ',', 'prophezeie', 'ich', 'dir', 'deinen', 'Mann', '.']"
231,,das_fraeulein (Minna von Barnhelm),,,,LS,Emotionale Bewegtheit,106396,CATMA_0FF64B23-320D-422B-9EA3-8994BB47B81A,13,Emotionale Bewegtheit,Emotionale Bewegtheit,106324,Emotionale Bewegtheit,"Ihre Irrung ist sehr zu vergeben, und Ihre Verwunderung sehr natürlich.
","['Ihre', 'Irrung', 'ist', 'sehr', 'zu', 'vergeben', ',', 'und', 'Ihre', 'Verwunderung', 'sehr', 'natürlich', '.']"
232,,,,,,LS,negativ,106544,CATMA_A08EC332-5B93-4734-8623-3274598D9A62,26,Emotionen des Leids,negativ,106396,Mitleid,"              Der Herr Major hat die Güte gehabt, mir, als einer Fremden, die nicht unter zu kommen
              wußte, sein Zimmer zu überlassen.
","['Der', 'Herr', 'Major', 'hat', 'die', 'Güte', 'gehabt', ',', 'mir', ',', 'als', 'einer', 'Fremden', ',', 'die', 'nicht', 'unter', 'zu', 'kommen', 'wußte', ',', 'sein', 'Zimmer', 'zu', 'überlassen', '.']"
233,riccaut (Riccaut),,,,,LS,positiv,106624,CATMA_2FFBCF4D-D678-4D7A-8A01-D3B58786D9BD,14,Emotionen der Zuneigung,positiv,106554,Verehrung,"Ah voilà de ses politesses! C'est un très- galant-homme que ce Major!
","['Ah', 'voilà', 'de', 'ses', 'politesses', '!', ""C'est"", 'un', 'très-', 'galant-homme', 'que', 'ce', 'Major', '!']"
234,,,,,,LS,positiv,106966,CATMA_68442FCA-526C-46E6-8074-46C02F11554C,10,Emotionen der Zuneigung,positiv,106924,Freundschaft,"Ik bin sehr von seine Freund, Ihro Gnad –
","['Ik', 'bin', 'sehr', 'von', 'seine', 'Freund', ',', 'Ihro', 'Gnad', '–']"
235,,,,,,LS,positiv,107176,CATMA_4A71EB1E-B098-4D96-946E-0F5E43234D31,14,Emotionen der Freude,positiv,107095,Freude,"Ik komm ihm bringen eine Nouvelle, davon er sehr
              frölik sein wird.
","['Ik', 'komm', 'ihm', 'bringen', 'eine', 'Nouvelle', ',', 'davon', 'er', 'sehr', 'frölik', 'sein', 'wird', '.']"
236,,,,,,LS,positiv,109948,CATMA_16D5B9A4-0113-4730-A625-95D1D3CE7AA9,16,Emotionen der Freude,positiv,109864,Freude,"Gewiß, mein Herr, diese Nachricht wird dem Major von Tellheim höchst angenehm sein.
","['Gewiß', ',', 'mein', 'Herr', ',', 'diese', 'Nachricht', 'wird', 'dem', 'Major', 'von', 'Tellheim', 'höchst', 'angenehm', 'sein', '.']"
