,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,File
357,,,,,,CE,negativ,144818,CATMA_360A216F-21A2-4935-B22D-39F2316942CE,54,Emotionen der Ablehnung,negativ,144441,Abscheu,"so kenne denn ihren verfluchten Urheber. – Henley – hätte
              ich den unseligen Namen nie gehört! – dieser hatte mich durch die feindseligsten
              Verleumdungen aufgebracht; dieser hatte meine Rachbegierde zu einem solchen Grade von
              Raserey empört, daß ich Granvillens Leben würde angefallen haben, und hätten es Heere
              beschützt.","['so', 'kenne', 'denn', 'ihren', 'verfluchten', 'Urheber', '.', '–', 'Henley', '–', 'hätte', 'ich', 'den', 'unseligen', 'Namen', 'nie', 'gehört', '!', '–', 'dieser', 'hatte', 'mich', 'durch', 'die', 'feindseligsten', 'Verleumdungen', 'aufgebracht', ';', 'dieser', 'hatte', 'meine', 'Rachbegierde', 'zu', 'einem', 'solchen', 'Grade', 'von', 'Raserey', 'empört', ',', 'daß', 'ich', 'Granvillens', 'Leben', 'würde', 'angefallen', 'haben', ',', 'und', 'hätten', 'es', 'Heere', 'beschützt', '.']",Freigeist_Brawe_main_emotion_class_filtered.csv
358,,,,,,CE,positiv,146834,CATMA_7E400155-D293-416C-A400-6D74583F5463_0,22,Emotionen der Freude,positiv,146753,Freude,"Ja! – dieß ist das Mittel, Sie zu retten; Dank sey dem Himmel, der es mir eingab!","['Ja', '!', '–', 'dieß', 'ist', 'das', 'Mittel', ',', 'Sie', 'zu', 'retten', ';', 'Dank', 'sey', 'dem', 'Himmel', ',', 'der', 'es', 'mir', 'eingab', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
359,,,,,,CE,positiv,148118,CATMA_4FC6B2FF-CDB1-4973-A411-43B1FCCE31B4,60,Emotionen der Zuneigung,positiv,147732,Verehrung,"Nicht weiter, großmuthsvoller Truworth, du durchbohrst mein Herz. Wie? so viele
              heldenmüthige Tugend  bey so vieler Niedrigkeit, und so dürftigem Glück?
              Wahrer, bester Freund, dieser Uebermaße von Treue bin ich nicht würdig. Muß sich denn
              alles um mich herum in einem so blendenden Glanze von Tugend und erhabner Gesinnung
              zeigen?","['Nicht', 'weiter', ',', 'großmuthsvoller', 'Truworth', ',', 'du', 'durchbohrst', 'mein', 'Herz', '.', 'Wie', '?', 'so', 'viele', 'heldenmüthige', 'Tugend', 'bey', 'so', 'vieler', 'Niedrigkeit', ',', 'und', 'so', 'dürftigem', 'Glück', '?', 'Wahrer', ',', 'bester', 'Freund', ',', 'dieser', 'Uebermaße', 'von', 'Treue', 'bin', 'ich', 'nicht', 'würdig', '.', 'Muß', 'sich', 'denn', 'alles', 'um', 'mich', 'herum', 'in', 'einem', 'so', 'blendenden', 'Glanze', 'von', 'Tugend', 'und', 'erhabner', 'Gesinnung', 'zeigen', '?']",Freigeist_Brawe_main_emotion_class_filtered.csv
360,klerdon,,,,,CE,negativ,147798,CATMA_A0434704-2C6F-4266-BFAB-C4EF576B7BFD,11,Emotionen des Leids,negativ,147732,Leid,"Nicht weiter, großmuthsvoller Truworth, du durchbohrst mein Herz. ","['Nicht', 'weiter', ',', 'großmuthsvoller', 'Truworth', ',', 'du', 'durchbohrst', 'mein', 'Herz', '.']",Freigeist_Brawe_main_emotion_class_filtered.csv
361,,,,,,CE,negativ,148181,CATMA_D153498C-D4D4-4548-BE5B-6F812C52C5B6_1,11,Emotionen der Ablehnung,negativ,148121,Abscheu,und ich allein ein so niedriger und verworfner Frevler seyn!,"['und', 'ich', 'allein', 'ein', 'so', 'niedriger', 'und', 'verworfner', 'Frevler', 'seyn', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
362,,,,,,CE,positiv,148374,CATMA_B2D4ADF8-B6DE-4208-967E-82FB6936441F,33,Emotionen der Zuneigung,positiv,148184,Freundschaft,"Geh, mein
              Freund, geh und mache Anstalt, daß wir diese Stadt sogleich verlassen; du bist mir
              viel zu kostbar, als daß ich dich meiner Sicherheit aufopfern sollte.","['Geh', ',', 'mein', 'Freund', ',', 'geh', 'und', 'mache', 'Anstalt', ',', 'daß', 'wir', 'diese', 'Stadt', 'sogleich', 'verlassen', ';', 'du', 'bist', 'mir', 'viel', 'zu', 'kostbar', ',', 'als', 'daß', 'ich', 'dich', 'meiner', 'Sicherheit', 'aufopfern', 'sollte', '.']",Freigeist_Brawe_main_emotion_class_filtered.csv
363,,,,,,CE,negativ,149080,CATMA_FC07E1E8-46B1-483D-A2A2-8E3AD094F80C,22,Emotionen der Ablehnung,negativ,148961,Abscheu," Hinfort in jener Zukunft voll Grauen, wird mein Theil nur Haß sein; alles, mich selbst
              werde ich hassen,","['Hinfort', 'in', 'jener', 'Zukunft', 'voll', 'Grauen', ',', 'wird', 'mein', 'Theil', 'nur', 'Haß', 'sein', ';', 'alles', ',', 'mich', 'selbst', 'werde', 'ich', 'hassen', ',']",Freigeist_Brawe_main_emotion_class_filtered.csv
364,,,,,,CE,negativ,149117,CATMA_E12FEF13-AB5C-4477-B3EC-EA68201CAA92,7,Emotionen der Ablehnung,negativ,149081,Abscheu,und allem werde ich ein Abscheu seyn,"['und', 'allem', 'werde', 'ich', 'ein', 'Abscheu', 'seyn']",Freigeist_Brawe_main_emotion_class_filtered.csv
365,,,,,,CE,negativ,150485,CATMA_5EF95CFA-80AB-4A5F-8995-2A11663C5773,229,Emotionen der Angst,negativ,149120,Verzweiflung," Was zaudre ich noch? Ich muß
              den Tod wählen. Die Erde, die jeden Augenblick unter meinen Füßen weg zu weichen
              droht, dieses Licht, das mir itzt so fürchterlich glänzt, – diese vor meinen Blicken
              herumirrenden Bilder des Todes, vermag ich nicht zu ertragen. Ein so peinigend
              Schicksal auch meiner wartet, so kann es doch nie dieses wütende Feuer, diesen innern
              Tod, den ich fühle, übertreffen. – – Vielleicht irre ich – es sey. Eine
              unwiderstehliche Rache treibt mich zu dem Abgrunde, dem ich umsonst zu entfliehen
              suche. – Name eines Freygeists, auf den ich einst stolz war, wie verfluche ich dich
              itzt! O träfe die ein dem meinigen ähnliches Weh, die ihn zuerst erfanden, die zu erst
              einen unseligen Ruhm darinn setzten, Empörer wider den Unendlichen und
              frevelnde Wahnwitzige zu seyn. Von euch müsse das Verderben so vieler gefodert werden,
              Lehrer der Raserey! eine Sündflut von Flammen der rächenden Allmacht müsse euch
              überströmen! – Wie empört sich alles in mir! Wie schauert der Seele vor der
              entsetzlichen Minute! – Deine Rache soll nicht länger verzögert werden, Blut meines
              Freundes! – ich höre dein Rufen! – ich verstehe euch, Töne des Todes! – ich eile – –
","['Was', 'zaudre', 'ich', 'noch', '?', 'Ich', 'muß', 'den', 'Tod', 'wählen', '.', 'Die', 'Erde', ',', 'die', 'jeden', 'Augenblick', 'unter', 'meinen', 'Füßen', 'weg', 'zu', 'weichen', 'droht', ',', 'dieses', 'Licht', ',', 'das', 'mir', 'itzt', 'so', 'fürchterlich', 'glänzt', ',', '–', 'diese', 'vor', 'meinen', 'Blicken', 'herumirrenden', 'Bilder', 'des', 'Todes', ',', 'vermag', 'ich', 'nicht', 'zu', 'ertragen', '.', 'Ein', 'so', 'peinigend', 'Schicksal', 'auch', 'meiner', 'wartet', ',', 'so', 'kann', 'es', 'doch', 'nie', 'dieses', 'wütende', 'Feuer', ',', 'diesen', 'innern', 'Tod', ',', 'den', 'ich', 'fühle', ',', 'übertreffen', '.', '–', '–', 'Vielleicht', 'irre', 'ich', '–', 'es', 'sey', '.', 'Eine', 'unwiderstehliche', 'Rache', 'treibt', 'mich', 'zu', 'dem', 'Abgrunde', ',', 'dem', 'ich', 'umsonst', 'zu', 'entfliehen', 'suche', '.', '–', 'Name', 'eines', 'Freygeists', ',', 'auf', 'den', 'ich', 'einst', 'stolz', 'war', ',', 'wie', 'verfluche', 'ich', 'dich', 'itzt', '!', 'O', 'träfe', 'die', 'ein', 'dem', 'meinigen', 'ähnliches', 'Weh', ',', 'die', 'ihn', 'zuerst', 'erfanden', ',', 'die', 'zu', 'erst', 'einen', 'unseligen', 'Ruhm', 'darinn', 'setzten', ',', 'Empörer', 'wider', 'den', 'Unendlichen', 'und', 'frevelnde', 'Wahnwitzige', 'zu', 'seyn', '.', 'Von', 'euch', 'müsse', 'das', 'Verderben', 'so', 'vieler', 'gefodert', 'werden', ',', 'Lehrer', 'der', 'Raserey', '!', 'eine', 'Sündflut', 'von', 'Flammen', 'der', 'rächenden', 'Allmacht', 'müsse', 'euch', 'überströmen', '!', '–', 'Wie', 'empört', 'sich', 'alles', 'in', 'mir', '!', 'Wie', 'schauert', 'der', 'Seele', 'vor', 'der', 'entsetzlichen', 'Minute', '!', '–', 'Deine', 'Rache', 'soll', 'nicht', 'länger', 'verzögert', 'werden', ',', 'Blut', 'meines', 'Freundes', '!', '–', 'ich', 'höre', 'dein', 'Rufen', '!', '–', 'ich', 'verstehe', 'euch', ',', 'Töne', 'des', 'Todes', '!', '–', 'ich', 'eile', '–', '–']",Freigeist_Brawe_main_emotion_class_filtered.csv
366,,,,,,CE,negativ,150225,CATMA_BE063786-D92E-43EC-9BEE-6FD0582D35BB,75,Emotionen der Ablehnung,negativ,149742,Abscheu,"Name eines Freygeists, auf den ich einst stolz war, wie verfluche ich dich
              itzt! O träfe die ein dem meinigen ähnliches Weh, die ihn zuerst erfanden, die zu erst
              einen unseligen Ruhm darinn setzten, Empörer wider den Unendlichen und
              frevelnde Wahnwitzige zu seyn. Von euch müsse das Verderben so vieler gefodert werden,
              Lehrer der Raserey! eine Sündflut von Flammen der rächenden Allmacht müsse euch
              überströmen! ","['Name', 'eines', 'Freygeists', ',', 'auf', 'den', 'ich', 'einst', 'stolz', 'war', ',', 'wie', 'verfluche', 'ich', 'dich', 'itzt', '!', 'O', 'träfe', 'die', 'ein', 'dem', 'meinigen', 'ähnliches', 'Weh', ',', 'die', 'ihn', 'zuerst', 'erfanden', ',', 'die', 'zu', 'erst', 'einen', 'unseligen', 'Ruhm', 'darinn', 'setzten', ',', 'Empörer', 'wider', 'den', 'Unendlichen', 'und', 'frevelnde', 'Wahnwitzige', 'zu', 'seyn', '.', 'Von', 'euch', 'müsse', 'das', 'Verderben', 'so', 'vieler', 'gefodert', 'werden', ',', 'Lehrer', 'der', 'Raserey', '!', 'eine', 'Sündflut', 'von', 'Flammen', 'der', 'rächenden', 'Allmacht', 'müsse', 'euch', 'überströmen', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
367,,,,,,CE,negativ,150224,CATMA_CAF2036D-405E-4294-82D2-E6F27BEB8C07,75,Emotionen der Ablehnung,negativ,149742,Abscheu,"Name eines Freygeists, auf den ich einst stolz war, wie verfluche ich dich
              itzt! O träfe die ein dem meinigen ähnliches Weh, die ihn zuerst erfanden, die zu erst
              einen unseligen Ruhm darinn setzten, Empörer wider den Unendlichen und
              frevelnde Wahnwitzige zu seyn. Von euch müsse das Verderben so vieler gefodert werden,
              Lehrer der Raserey! eine Sündflut von Flammen der rächenden Allmacht müsse euch
              überströmen!","['Name', 'eines', 'Freygeists', ',', 'auf', 'den', 'ich', 'einst', 'stolz', 'war', ',', 'wie', 'verfluche', 'ich', 'dich', 'itzt', '!', 'O', 'träfe', 'die', 'ein', 'dem', 'meinigen', 'ähnliches', 'Weh', ',', 'die', 'ihn', 'zuerst', 'erfanden', ',', 'die', 'zu', 'erst', 'einen', 'unseligen', 'Ruhm', 'darinn', 'setzten', ',', 'Empörer', 'wider', 'den', 'Unendlichen', 'und', 'frevelnde', 'Wahnwitzige', 'zu', 'seyn', '.', 'Von', 'euch', 'müsse', 'das', 'Verderben', 'so', 'vieler', 'gefodert', 'werden', ',', 'Lehrer', 'der', 'Raserey', '!', 'eine', 'Sündflut', 'von', 'Flammen', 'der', 'rächenden', 'Allmacht', 'müsse', 'euch', 'überströmen', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
368,klerdon,,,,,CE,negativ,150559,CATMA_B950C2CB-9823-427F-A93F-D38E445BB571,8,Emotionen der Ablehnung,negativ,150526,Abscheu,O Abscheu! da ist mein Verderber.,"['O', 'Abscheu', '!', 'da', 'ist', 'mein', 'Verderber', '.']",Freigeist_Brawe_main_emotion_class_filtered.csv
369,,,,,,CE,negativ,150745,CATMA_33228FCC-B490-4D78-9641-6552128F072F,26,Emotionen der Ablehnung,negativ,150618,Ärger,"der wütend auf ihn los geht.
Ha, Treuloser! wo ist Granville? Von deinen Händen, Ungeheuer, fodre ich sein
              Blut.
","['der', 'wütend', 'auf', 'ihn', 'los', 'geht', '.', 'Ha', ',', 'Treuloser', '!', 'wo', 'ist', 'Granville', '?', 'Von', 'deinen', 'Händen', ',', 'Ungeheuer', ',', 'fodre', 'ich', 'sein', 'Blut', '.']",Freigeist_Brawe_main_emotion_class_filtered.csv
370,,,,,,CE,negativ,150744,CATMA_94799E52-70DF-434B-B8BD-A5D15FDAD457,26,Emotionen der Ablehnung,negativ,150618,Abscheu,"der wütend auf ihn los geht.
Ha, Treuloser! wo ist Granville? Von deinen Händen, Ungeheuer, fodre ich sein
              Blut.","['der', 'wütend', 'auf', 'ihn', 'los', 'geht', '.', 'Ha', ',', 'Treuloser', '!', 'wo', 'ist', 'Granville', '?', 'Von', 'deinen', 'Händen', ',', 'Ungeheuer', ',', 'fodre', 'ich', 'sein', 'Blut', '.']",Freigeist_Brawe_main_emotion_class_filtered.csv
371,klerdon,,,,,CE,negativ,150919,CATMA_3FBB933E-83FA-4843-A071-E4B430F05ACB,19,Emotionen der Ablehnung,negativ,150813,Abscheu,". Ich komme nicht hieher,
              Ihre Wut zu besänftigen, ich komme, sie noch stärker zu entflammen","['.', 'Ich', 'komme', 'nicht', 'hieher', ',', 'Ihre', 'Wut', 'zu', 'besänftigen', ',', 'ich', 'komme', ',', 'sie', 'noch', 'stärker', 'zu', 'entflammen']",Freigeist_Brawe_main_emotion_class_filtered.csv
372,,,,,,CE,negativ,150919,CATMA_4C14740F-B9F9-47F0-ABE9-34011FB2A6E4,18,Emotionen der Ablehnung,negativ,150815,Ärger,"Ich komme nicht hieher,
              Ihre Wut zu besänftigen, ich komme, sie noch stärker zu entflammen","['Ich', 'komme', 'nicht', 'hieher', ',', 'Ihre', 'Wut', 'zu', 'besänftigen', ',', 'ich', 'komme', ',', 'sie', 'noch', 'stärker', 'zu', 'entflammen']",Freigeist_Brawe_main_emotion_class_filtered.csv
373,unpersönlich,henley,,,,CE,positiv,151380,CATMA_E0E2EA2E-D201-488B-B34A-7D0A44B47F90,24,Emotionen der Zuneigung,positiv,151209,Verehrung,"Sie waren damals
              in dem Schooße eines blühenden Glücks. Ueberall ertönte das Lob Ihrer Tugenden;
              überall folgte Ihnen Glanz und Bewundrung nach","['Sie', 'waren', 'damals', 'in', 'dem', 'Schooße', 'eines', 'blühenden', 'Glücks', '.', 'Ueberall', 'ertönte', 'das', 'Lob', 'Ihrer', 'Tugenden', ';', 'überall', 'folgte', 'Ihnen', 'Glanz', 'und', 'Bewundrung', 'nach']",Freigeist_Brawe_main_emotion_class_filtered.csv
374,,,,,,CE,negativ,151495,CATMA_5149FC91-5900-41B0-B9BA-CF610A1053ED,5,Emotionen der Ablehnung,negativ,151468,Ärger,Unselige Vortheile für Sie!,"['Unselige', 'Vortheile', 'für', 'Sie', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
375,,,,,,CE,Emotionale Bewegtheit,152293,CATMA_449D7F38-5BCE-469D-AE4D-0E4D87EE7E7A,9,Emotionale Bewegtheit,Emotionale Bewegtheit,152261,Emotionale Bewegtheit,"Ists möglich? – Was höre ich! –
","['Ists', 'möglich', '?', '–', 'Was', 'höre', 'ich', '!', '–']",Freigeist_Brawe_main_emotion_class_filtered.csv
376,,,henley,,,CE,negativ,152290,CATMA_BE890800-353A-415B-8E3F-E91B342F5D99,8,Emotionen der Ablehnung,negativ,152261,Ärger,Ists möglich? – Was höre ich!,"['Ists', 'möglich', '?', '–', 'Was', 'höre', 'ich', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
377,,,,,,CE,positiv,152438,CATMA_648E30F3-73C9-4AA9-B9CE-49E527850DB8_0,10,Emotionen der Freude,positiv,152381,Schadenfreude,"              wissen, ob es mir gelungen ist – Itzt will ","['wissen', ',', 'ob', 'es', 'mir', 'gelungen', 'ist', '–', 'Itzt', 'will']",Freigeist_Brawe_main_emotion_class_filtered.csv
378,,,,,,CE,positiv,152442,CATMA_648E30F3-73C9-4AA9-B9CE-49E527850DB8_1,3,Emotionen der Freude,positiv,152428,Schadenfreude,Itzt will ich ,"['Itzt', 'will', 'ich']",Freigeist_Brawe_main_emotion_class_filtered.csv
379,,,,,,CE,positiv,152447,CATMA_648E30F3-73C9-4AA9-B9CE-49E527850DB8_2,2,Emotionen der Freude,positiv,152438,Schadenfreude,ich Ihnen,"['ich', 'Ihnen']",Freigeist_Brawe_main_emotion_class_filtered.csv
380,,,,,,CE,positiv,152504,CATMA_648E30F3-73C9-4AA9-B9CE-49E527850DB8_3,10,Emotionen der Freude,positiv,152442,Schadenfreude,"Ihnen alles entdecken, zu Ihrer Pein
              will ich es","['Ihnen', 'alles', 'entdecken', ',', 'zu', 'Ihrer', 'Pein', 'will', 'ich', 'es']",Freigeist_Brawe_main_emotion_class_filtered.csv
381,,,,,,CE,positiv,154112,CATMA_648E30F3-73C9-4AA9-B9CE-49E527850DB8_4,221,Emotionen der Freude,positiv,152731,Schadenfreude,"Nun ist meine Rache vollendet. Nun sind Sie
              in dem tiefsten Abgrunde der Verzweiflung. Alle Frevel sind für Sie erschöpft. Hier
              können Sie nun nichts mehr verlieren, und jenseit des Grabes drohn Ihnen unerbittliche
              Gerichte – Wie triumphiere ich! wie genieße ich Ihr Unglück? Unaussprechliche Wollust
              bemächtigt sich meiner, da ich Ihrer Verzweiflung Hohn sprechen kann. Dies ist der
              schönste Tag meines Lebens. – Stoßen Sie nun die bittersten Schmähungen wider mich
              aus; überhäufen Sie mich mit Flüchen. Je mehr Sie toben, je mehr triumphiere ich. Ihre
              Thränen, Ihre Qual, sind das ergetzendste Schauspiel für  mich, Ihre
              Seufzer sind Harmonien in meinen Ohren! – Wo sind nun diese erhabnen und blendenden
              Verdienste, die Ihre Lobredner so zu erheben wußten? wie ohnmächtig sie vor mir dahin
              fielen! wie entstellt sie in Ihren Ruinen liegen! Unsträflicher, edelmüthiger Klerdon,
              Freund der Tugend und Religion, wie war es Ihnen möglich, sich zu so schändlichen
              Verbrechen zu erniedrigen? – Auf! entreißen Sie Sich dieser fühllosen Erstarrung.
              Empfinden Sie meinen Spott, meinen Triumph! er ist hin, wo sie ihn nicht empfinden. –
              O! könnte ich Sie für Ihr Elend ganz zu Gefühl machen!
","['Nun', 'ist', 'meine', 'Rache', 'vollendet', '.', 'Nun', 'sind', 'Sie', 'in', 'dem', 'tiefsten', 'Abgrunde', 'der', 'Verzweiflung', '.', 'Alle', 'Frevel', 'sind', 'für', 'Sie', 'erschöpft', '.', 'Hier', 'können', 'Sie', 'nun', 'nichts', 'mehr', 'verlieren', ',', 'und', 'jenseit', 'des', 'Grabes', 'drohn', 'Ihnen', 'unerbittliche', 'Gerichte', '–', 'Wie', 'triumphiere', 'ich', '!', 'wie', 'genieße', 'ich', 'Ihr', 'Unglück', '?', 'Unaussprechliche', 'Wollust', 'bemächtigt', 'sich', 'meiner', ',', 'da', 'ich', 'Ihrer', 'Verzweiflung', 'Hohn', 'sprechen', 'kann', '.', 'Dies', 'ist', 'der', 'schönste', 'Tag', 'meines', 'Lebens', '.', '–', 'Stoßen', 'Sie', 'nun', 'die', 'bittersten', 'Schmähungen', 'wider', 'mich', 'aus', ';', 'überhäufen', 'Sie', 'mich', 'mit', 'Flüchen', '.', 'Je', 'mehr', 'Sie', 'toben', ',', 'je', 'mehr', 'triumphiere', 'ich', '.', 'Ihre', 'Thränen', ',', 'Ihre', 'Qual', ',', 'sind', 'das', 'ergetzendste', 'Schauspiel', 'für', 'mich', ',', 'Ihre', 'Seufzer', 'sind', 'Harmonien', 'in', 'meinen', 'Ohren', '!', '–', 'Wo', 'sind', 'nun', 'diese', 'erhabnen', 'und', 'blendenden', 'Verdienste', ',', 'die', 'Ihre', 'Lobredner', 'so', 'zu', 'erheben', 'wußten', '?', 'wie', 'ohnmächtig', 'sie', 'vor', 'mir', 'dahin', 'fielen', '!', 'wie', 'entstellt', 'sie', 'in', 'Ihren', 'Ruinen', 'liegen', '!', 'Unsträflicher', ',', 'edelmüthiger', 'Klerdon', ',', 'Freund', 'der', 'Tugend', 'und', 'Religion', ',', 'wie', 'war', 'es', 'Ihnen', 'möglich', ',', 'sich', 'zu', 'so', 'schändlichen', 'Verbrechen', 'zu', 'erniedrigen', '?', '–', 'Auf', '!', 'entreißen', 'Sie', 'Sich', 'dieser', 'fühllosen', 'Erstarrung', '.', 'Empfinden', 'Sie', 'meinen', 'Spott', ',', 'meinen', 'Triumph', '!', 'er', 'ist', 'hin', ',', 'wo', 'sie', 'ihn', 'nicht', 'empfinden', '.', '–', 'O', '!', 'könnte', 'ich', 'Sie', 'für', 'Ihr', 'Elend', 'ganz', 'zu', 'Gefühl', 'machen', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
382,,,,,,CE,positiv,154112,CATMA_3AF0E65E-ECAD-4C77-91F2-B5C003423CF7,243,Emotionen der Freude,positiv,152594,Schadenfreude,"Ihr frevelnder Arm – verfluchen Sie Sich selbst! – hat dem edelgesinntesten, dem
              zärtlichsten Freunde das Leben geraubt. – Nun ist meine Rache vollendet. Nun sind Sie
              in dem tiefsten Abgrunde der Verzweiflung. Alle Frevel sind für Sie erschöpft. Hier
              können Sie nun nichts mehr verlieren, und jenseit des Grabes drohn Ihnen unerbittliche
              Gerichte – Wie triumphiere ich! wie genieße ich Ihr Unglück? Unaussprechliche Wollust
              bemächtigt sich meiner, da ich Ihrer Verzweiflung Hohn sprechen kann. Dies ist der
              schönste Tag meines Lebens. – Stoßen Sie nun die bittersten Schmähungen wider mich
              aus; überhäufen Sie mich mit Flüchen. Je mehr Sie toben, je mehr triumphiere ich. Ihre
              Thränen, Ihre Qual, sind das ergetzendste Schauspiel für  mich, Ihre
              Seufzer sind Harmonien in meinen Ohren! – Wo sind nun diese erhabnen und blendenden
              Verdienste, die Ihre Lobredner so zu erheben wußten? wie ohnmächtig sie vor mir dahin
              fielen! wie entstellt sie in Ihren Ruinen liegen! Unsträflicher, edelmüthiger Klerdon,
              Freund der Tugend und Religion, wie war es Ihnen möglich, sich zu so schändlichen
              Verbrechen zu erniedrigen? – Auf! entreißen Sie Sich dieser fühllosen Erstarrung.
              Empfinden Sie meinen Spott, meinen Triumph! er ist hin, wo sie ihn nicht empfinden. –
              O! könnte ich Sie für Ihr Elend ganz zu Gefühl machen!
","['Ihr', 'frevelnder', 'Arm', '–', 'verfluchen', 'Sie', 'Sich', 'selbst', '!', '–', 'hat', 'dem', 'edelgesinntesten', ',', 'dem', 'zärtlichsten', 'Freunde', 'das', 'Leben', 'geraubt', '.', '–', 'Nun', 'ist', 'meine', 'Rache', 'vollendet', '.', 'Nun', 'sind', 'Sie', 'in', 'dem', 'tiefsten', 'Abgrunde', 'der', 'Verzweiflung', '.', 'Alle', 'Frevel', 'sind', 'für', 'Sie', 'erschöpft', '.', 'Hier', 'können', 'Sie', 'nun', 'nichts', 'mehr', 'verlieren', ',', 'und', 'jenseit', 'des', 'Grabes', 'drohn', 'Ihnen', 'unerbittliche', 'Gerichte', '–', 'Wie', 'triumphiere', 'ich', '!', 'wie', 'genieße', 'ich', 'Ihr', 'Unglück', '?', 'Unaussprechliche', 'Wollust', 'bemächtigt', 'sich', 'meiner', ',', 'da', 'ich', 'Ihrer', 'Verzweiflung', 'Hohn', 'sprechen', 'kann', '.', 'Dies', 'ist', 'der', 'schönste', 'Tag', 'meines', 'Lebens', '.', '–', 'Stoßen', 'Sie', 'nun', 'die', 'bittersten', 'Schmähungen', 'wider', 'mich', 'aus', ';', 'überhäufen', 'Sie', 'mich', 'mit', 'Flüchen', '.', 'Je', 'mehr', 'Sie', 'toben', ',', 'je', 'mehr', 'triumphiere', 'ich', '.', 'Ihre', 'Thränen', ',', 'Ihre', 'Qual', ',', 'sind', 'das', 'ergetzendste', 'Schauspiel', 'für', 'mich', ',', 'Ihre', 'Seufzer', 'sind', 'Harmonien', 'in', 'meinen', 'Ohren', '!', '–', 'Wo', 'sind', 'nun', 'diese', 'erhabnen', 'und', 'blendenden', 'Verdienste', ',', 'die', 'Ihre', 'Lobredner', 'so', 'zu', 'erheben', 'wußten', '?', 'wie', 'ohnmächtig', 'sie', 'vor', 'mir', 'dahin', 'fielen', '!', 'wie', 'entstellt', 'sie', 'in', 'Ihren', 'Ruinen', 'liegen', '!', 'Unsträflicher', ',', 'edelmüthiger', 'Klerdon', ',', 'Freund', 'der', 'Tugend', 'und', 'Religion', ',', 'wie', 'war', 'es', 'Ihnen', 'möglich', ',', 'sich', 'zu', 'so', 'schändlichen', 'Verbrechen', 'zu', 'erniedrigen', '?', '–', 'Auf', '!', 'entreißen', 'Sie', 'Sich', 'dieser', 'fühllosen', 'Erstarrung', '.', 'Empfinden', 'Sie', 'meinen', 'Spott', ',', 'meinen', 'Triumph', '!', 'er', 'ist', 'hin', ',', 'wo', 'sie', 'ihn', 'nicht', 'empfinden', '.', '–', 'O', '!', 'könnte', 'ich', 'Sie', 'für', 'Ihr', 'Elend', 'ganz', 'zu', 'Gefühl', 'machen', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
383,,,,,,CE,negativ,154241,CATMA_7C49EEB6-1BBB-408D-ACBD-057724B6B0DA_0,21,Emotionen der Ablehnung,negativ,154122,Abscheu,"Rede ich mit einem Menschen? Nein, die Hölle redet aus dir, Ungeheuer, ihrer sind
              diese Gesinnungen werth","['Rede', 'ich', 'mit', 'einem', 'Menschen', '?', 'Nein', ',', 'die', 'Hölle', 'redet', 'aus', 'dir', ',', 'Ungeheuer', ',', 'ihrer', 'sind', 'diese', 'Gesinnungen', 'werth']",Freigeist_Brawe_main_emotion_class_filtered.csv
384,henley,klerdon,klerdon,,,CE,positiv,154274,CATMA_F9C7E3F4-13FE-4CD3-B31D-E8D980A02836_0,7,Emotionen der Freude,positiv,154245,Schadenfreude,"Ja, frohlocke nur, frohlocke!","['Ja', ',', 'frohlocke', 'nur', ',', 'frohlocke', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
385,,,,,,CE,positiv,155220,CATMA_37D0EFBD-E373-47BB-9618-DD38ACFCDC7D,22,Emotionen der Freude,positiv,155114,Schadenfreude,"Ich sterbe! – doch mein Feind stirbt mir zur Seiten – ich bin gerächt – o Triumph! o
              Rache!
","['Ich', 'sterbe', '!', '–', 'doch', 'mein', 'Feind', 'stirbt', 'mir', 'zur', 'Seiten', '–', 'ich', 'bin', 'gerächt', '–', 'o', 'Triumph', '!', 'o', 'Rache', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
386,,,,,,CE,positiv,155220,CATMA_07E8730B-EE75-4BD9-98E7-B9E2821AF83D,18,Emotionen der Freude,positiv,155128,Schadenfreude,"doch mein Feind stirbt mir zur Seiten – ich bin gerächt – o Triumph! o
              Rache!
","['doch', 'mein', 'Feind', 'stirbt', 'mir', 'zur', 'Seiten', '–', 'ich', 'bin', 'gerächt', '–', 'o', 'Triumph', '!', 'o', 'Rache', '!']",Freigeist_Brawe_main_emotion_class_filtered.csv
